Query,PubChem CID,Molecular Weight,Molecular Formula
10074640,10074640,498.6,C28H30N6OS
10113978,10113978,437.5,C21H23N7O2S
10127622,10127622,457.7,C17H15BrClFN4O3
10138260,10138260,442.5,C23H27FN4O4
10184653,10184653,485.9,C24H25ClFN5O3
10427712,10427712,346.3,C18H14N6O2
10461815,10461815,641.6,C32H34Cl2N4O4S
11234052,11234052,370.4,C19H19FN4O3
11314340,11314340,358.4,C22H22N4O
11338033,11338033,382.2,C16H17Cl2N5O2
11364421,11364421,521.7,C28H39N7O3
11409972,11409972,529.6,C26H30F3N7O2
11427553,11427553,332.4,C20H20N4O
11485656,11485656,375.4,C21H18FN5O
11617559,11617559,366.4,C20H22N4O3
11626560,11626560,450.3,C21H22Cl2FN5O
11656518,11656518,518.4,C24H16F6N6O
11667893,11667893,373.5,C22H23N5O
11712649,11712649,476.9,C25H15ClF2N4O2
11717001,11717001,334.4,C19H18N4O2
11984591,11984591,628.6,C28H29FN6O8S
123631,123631,446.9,C22H24ClFN4O3
126565,126565,439.5,C26H21N3O4
151194,151194,346.8,C20H15ClN4
153999,153999,468.5,C28H28N4O3
156414,156414,485.9,C24H25ClFN5O3
156422,156422,527.7,C31H37N5O3
16007391,16007391,507.6,C26H30FN7O3
16038120,16038120,614.2,C30H40ClN7O3S
16722836,16722836,524.7,C27H36N6O3S
16725726,16725726,425.5,C21H27N7O3
176155,176155,377.4,C21H16FN3OS
176167,176167,515.6,C32H29N5O2
176870,176870,393.4,C22H23N3O4
17755052,17755052,513.6,C23H27N7O3S2
208908,208908,581.1,C29H26ClFN4O4S
216239,216239,464.8,C21H16ClF3N4O3
24180719,24180719,413.8,C17H14ClF2N3O3S
24779724,24779724,359.4,C18H13N7S
24889392,24889392,560.7,C29H32N6O4S
25127112,25127112,404.4,C17H21N6O4P
25243800,25243800,308.34,C16H16N6O
3025986,3025986,380.5,C17H24N4O2S2
3038522,3038522,562.7,C31H42N6O4
3038525,3038525,436.3,C19H9Cl2F2N3OS
3062316,3062316,488.0,C22H26ClN7O2S
3081361,3081361,475.4,C22H24BrFN4O2
42642645,42642645,632.7,C34H34F2N4O6
44150621,44150621,500.5,C24H29FN6O5
44259,44259,466.5,C28H26N4O3
447077,447077,443.3,C21H16Cl2N4OS
4908365,4908365,277.75,C14H16ClN3O
51004351,51004351,570.6,C35H30N4O4
5287969,5287969,401.8,C21H20ClNO5
5291,5291,493.6,C29H31N7O
5328940,5328940,530.4,C26H29Cl2N5O3
5329102,5329102,398.5,C22H27FN4O2
5494449,5494449,464.6,C23H28N8OS
644241,644241,529.5,C28H22F3N7O
6450551,6450551,386.5,C22H18N4OS
6918454,6918454,478.7,C17H14ClF2IN2O2
9809715,9809715,539.6,C31H33N5O4
9884685,9884685,348.4,C19H16N4O3
9915743,9915743,557.0,C30H29ClN6O3
9926054,9926054,291.78,C14H18ClN5
9926791,9926791,312.37,C16H20N6O
9929127,9929127,366.8,C19H15ClN4O2
9933475,9933475,450.5,C25H27FN4O3
