Gene Name,UniProt ID
AAK1,A0A096LP25
ABL1,Q13689
ABL2,P42684
ACVR1,A0A804HHZ2
ACVR1B,F5H5Q2
ACVR2A,P27037
ACVR2B,Q4VAU9
ACVRL1,D9IPD9
ADCK3,Q8NI60
ADCK4,Q96D53
AKT1,A0AAQ5BHJ3
AKT2,M0R0P9
AKT3,Q56A86
ALK,Q9UM73
AMPK-alpha1,Q13131
AMPK-alpha2,P54646
ANKK1,H0YH32
ARK5,O60285
ASK1,Q99683
ASK2,O95382
AURKA,A3KFJ0
AURKB,J3KT86
AURKC,M0QYK8
AXL,M0R0W6
BIKE,Q9NSY1
BLK,Q05D26
BMPR1A,A0AAQ5BGM0
BMPR1B,O00238
BMPR2,Q13873
BMX,P51813
BRAF,F1CC75
BRK,Q13882
BRSK1,K7EM68
BRSK2,H0YES6
BTK,A0A8Q3SHZ6
CAMK1,C9JES6
CAMK1D,Q8IU85
CAMK1G,C9IYV2
CAMK2A,A0A5F9ZH21
CAMK2B,A0A8V8TPW6
CAMK2D,A0A8V8TN65
CAMK2G,A0A8V8TPN2
CAMK4,D6RE65
CAMKK1,J3KPJ3
CAMKK2,F5H4I7
CASK,A0A2R8YFN5
CDC2L2,Q6P5Y5
CDC2L5,Q14004
CDK11,Q9BWU1
CDK2,E7ESI2
CDK3,K7EJ83
CDK4-cyclinD1,P11802
CDK5,Q6IAW3
CDK7,D6R9G1
CDK8,F5H6D4
CDK9,X6RE90
CDKL1,A0A5H1ZRP5
CDKL2,Q92772
CDKL3,E7ET86
CDKL5,A0A669KBC2
CHEK1,A0A087WT52
CHEK2,A0A7P0MUT5
CIT,A0A7I2V692
CLK1,B8ZZR0
CLK2,P49760
CLK3,P49761
CLK4,B7ZL31
CSF1R,H0YAL5
CSNK1A1,A0A590UJ43
CSNK1A1L,Q8N752
CSNK1D,J3QQI9
CSNK1E,H7C3J2
CSNK1G1,A0A0U1RQY7
CSNK1G2,A0A087WZK4
CSNK1G3,Q9Y6M4
CSNK2A1,A0A2R8YDP2
CSNK2A2,H3BNI9
CTK,P42679
DAPK1,A0T398
DAPK2,Q1RMF4
DAPK3,M0R0D0
DCAMKL1,O15075
DCAMKL3,Q9C098
DDR1,A0A0G2JHK4
DDR2,A0A5F9ZI27
DMPK,I6L989
DMPK2,Q6DT37
DRAK1,Q9UEE5
DRAK2,O94768
DYRK1A,N0GVR9
DYRK2,F5GXG1
EGFR,A2VCQ7
EIF2AK1,F8WCM0
EPHA1,L8EAE3
EPHA2,Q96HF4
EPHA3,E2I6F6
EPHA4,E9PG71
EPHA5,B7ZKW7
EPHA6,E7EU71
EPHA7,A0A7P0TBL4
EPHA8,P29322
EPHB1,C9J466
EPHB2,B1AKC9
EPHB3,P54753
EPHB4,Q96L35
EPHB6,A0A087WYP8
ERBB2,X5DNK3
ERBB3,A0A2R8Y6T4
ERBB4,H3BLT0
ERK1,P27361
ERK2,P28482
ERK3,Q16659
ERK4,P31152
ERK5,Q13164
ERK8,Q8TD08
ERN1,A0A7P0TAB0
FAK,A0A059VC25
FER,D6RAF9
FES,E7ENM8
FGFR1,A0A994J419
FGFR2,A0A0A0MR25
FGFR3,F8W9L4
FGFR4,J3KPQ0
FGR,Q5TGY6
FLT1,X2QIK8
FLT3,A0A6G6D045
FLT4,E9PD35
FRK,P42685
FYN,E5RFM0
GAK,D6RC24
GCN2(KinDom2S808G),Q9P2K8
GRK1,O95098
GRK7,Q8WTQ7
GSK3A,A0A7I2V2J2
GSK3B,A0A7I2V3K8
HCK,J3KPD6
HIPK1,D6RC95
HIPK2,H7BXX9
HIPK3,E9PKD7
HIPK4,Q8NE63
HPK1,Q92918
HUNK,H7C3H0
ICK,Q9UPZ9
IGF1R,C9J5X1
IKK-alpha,B0LXP6
IKK-beta,Q5D0E0
IKK-epsilon,F7A8T7
INSR,M0R3E6
INSRR,I6U4P1
IRAK1,H7C224
IRAK3,Q9Y616
IRAK4,F8VVZ1
ITK,E5RJY4
JAK1(JH1domain-catalytic),P23458
JAK2(JH1domain-catalytic),O60674
JAK3(JH1domain-catalytic),P52333
JNK1,P45983
JNK2,P45984
JNK3,P53779
KIT,A0A8I5KRE7
LATS1,H0YG09
LATS2,Q9NRM7
LCK,E9PJ92
LIMK1,E9PC47
LIMK2,P53671
LKB1,Q15831
LOK,O94804
LRRK2,A0A218N881
LTK,Q4G0N3
LYN,E5RJ37
LZK,O43283
MAK,P20794
MAP3K1,L8ECC8
MAP3K15,A0A140T8W5
MAP3K2,Q6P084
MAP3K3,J3QRB6
MAP3K4,F5H1X6
MAP4K2,F2Z2B3
MAP4K3,F8WAZ1
MAP4K4,E7EX83
MAP4K5,G3V5C6
MAPKAPK2,P49137
MAPKAPK5,R4GN93
MARK1,A0A7I2V550
MARK2,E7ETY4
MARK3,A0A7I2V4G7
MARK4,K7EKG8
MAST1,K7EJI7
MEK1,Q02750
MEK2,P36507
MEK3,P46734
MEK4,P45985
MEK5,Q13163
MEK6,P52564
MELK,A0A0D9SFF9
MERTK,Q53R53
MET,B5A931
MINK,Q8NG69
MKK7,O14733
MKNK1,E9PIA0
MKNK2,K7EIN7
MLCK,Q32MK0
MLK1,P80192
MLK2,Q02779
MLK3,Q16584
MRCKA,U6DL86
MRCKB,R0M6W4
MST1,H7C0F8
MST1R,A0AAQ5BHR6
MST2,Q13188
MST3,Q9Y6E0
MST4,Q499L9
MTOR,A0A8V8TRG9
MUSK,O15146
MYLK,A0A8I5KU53
MYLK2,Q9H1R3
MYLK4,A0A8V8TMV3
MYO3A,Q0VD65
MYO3B,Q53R82
NDR1,Q15208
NDR2,Q9Y2H1
NEK1,A0A8I5KQ77
NEK11,D6RJF7
NEK2,F6U4U2
NEK3,A0A087WY58
NEK4,Q05DF6
NEK5,Q6P3R8
NEK6,Q5TBG4
NEK7,F5H3U7
NEK9,A0A7I2V454
NIM1,Q8IY84
NLK,H0YD75
OSR1,Q8TAX0
PAK1,Q13153
PAK2,Q13177
PAK3,O75914
PAK4,M0R3G6
PAK6,H0YK38
PAK7,Q9P286
PCTK1,Q9BRL4
PCTK2,Q00537
PCTK3,Q9BWF9
PDGFRA,D6RDX0
PDGFRB,E5RII0
PFCDPK1(Pfalciparum),Q9M9V8
PFPK5(Pfalciparum),Q07785
PFTAIRE2,Q96Q40
PFTK1,O94921
PHKG1,C9J2Q6
PHKG2,H3BP07
PIK3C2B,F5GWN5
PIK3C2G,A0A087WV31
PIK3CA,A0A2P0XI22
PIK3CB,H0Y871
PIK3CD,A0A2K8FKQ1
PIK3CG,P48736
PIK4CB,Q9UBF8
PIM1,P11309
PIM2,A0AA34QVH7
PIM3,Q86V86
PIP5K1A,Q99755
PIP5K1C,A0A7P0T808
PIP5K2B,P78356
PIP5K2C,Q8TBX8
PKAC-alpha,P17612
PKAC-beta,P22694
PKMYT1,I3L136
PKN1,K7EN76
PKN2,H0Y5V5
PKNB(Mtuberculosis),P9WI80
PLK1,I3L309
PLK2,A0A087WUH9
PLK3,Q9H4B4
PLK4,J3KR82
PRKCD,C9J9P1
PRKCE,Q53RT0
PRKCH,B5BU77
PRKCI,B5BUK7
PRKCQ,Q04759
PRKD1,F8WBA3
PRKD2,A0JLT6
PRKD3,H7C172
PRKG1,A0A2R8YH74
PRKG2,B7ZA25
PRKR,P19525
PRKX,P51817
PRP4,O43172
PYK2,Q14289
QSK,Q9Y2K2
RAF1,H7C155
RET,Q9UE13
RIOK1,E9PFQ8
RIOK2,H0Y8R4
RIOK3,I6L994
RIPK1,A0A7I2V404
RIPK2,E7ERW9
RIPK4,Q2TB16
RIPK5,Q6XUX3
ROCK1,A0A0U1RQV4
ROCK2,A0A8V8TL82
ROS1,H0Y3T9
RPS6KA4(KinDom.1-N-terminal),O75676
RPS6KA5(KinDom.1-N-terminal),O75582
RSK1(KinDom.1-N-terminal),Q15418
RSK2(KinDom.1-N-terminal),Q15349
RSK3(KinDom.1-N-terminal),P51812
RSK4(KinDom.1-N-terminal),Q9UK32
S6K1,P42818
SBK1,Q52WX2
SGK3,E5RK28
SIK,P57059
SIK2,Q9H0K1
SLK,A0A5F9ZH68
SNARK,Q9H093
SNRK,E7EUC4
SRC,Q71UK5
SRMS,Q9H3Y6
SRPK1,H3BLV9
SRPK2,F8WBW4
SRPK3,H7C1T4
STK16,B8ZZI5
STK33,B4DDH2
STK35,A0A0C4DGC9
STK36,C9JDA4
STK39,X5D2Y0
SYK,C3W980
SgK110,P0C264
TAK1,O43318
TAOK1,A0A994J797
TAOK2,A0PJ48
TAOK3,F5H0M3
TBK1,A0A494C148
TEC,D6RB05
TESK1,Q15569
TGFBR1,A0AAQ5BHT0
TGFBR2,A0A0S2Z539
TIE1,A0AAQ5BI97
TIE2,Q02763
TLK1,Q53TF9
TLK2,Q86UE8
TNIK,Q7Z4L4
TNK1,U3KPR9
TNK2,A0A5F9ZHQ1
TNNI3K,H0YDG1
TRKA,P04629
TRKB,Q16620
TRKC,Q16288
TRPM6,Q9BX84
TSSK1B,Q9BXA7
TTK,D6RF82
TXK,Q6LD14
TYK2(JH1domain-catalytic),P29597
TYRO3,H0YN24
ULK1,O75385
ULK2,K7EKK9
ULK3,H3BPN6
VEGFR2,P35968
VRK2,Q86Y07
WEE1,E9PQ51
WEE2,H7C5P0
YANK1,Q8WU08
YANK2,Q9NY57
YANK3,Q86UX6
YES,P07947
YSK1,O00506
YSK4,Q56UN5
ZAK,Q9NYL2
ZAP70,P43403
p38-alpha,A0A8J0UHZ4
p38-beta,A0A8J0UMT9
p38-delta,O15264
p38-gamma,P53778
CDC2L1,Q6PK02
CSK,B5BU52
DCAMKL2,G5E9L9
DLK,P80370
DYRK1B,A0A9H4CVU7
GRK4,D6REW5
PDPK1,H3BPW1
