Query,PubChem CID,Molecular Weight,Molecular Formula,CID,MolecularFormula,MolecularWeight,SMILES,CanonicalSMILES,IsomericSMILES,InChI,InChIKey,IUPACName,XLogP,ExactMass,MonoisotopicMass,TPSA,Complexity,Charge,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,IsotopeAtomCount,DefinedAtomStereoCount,UndefinedAtomStereoCount,DefinedBondStereoCount,UndefinedBondStereoCount,CovalentUnitCount,Volume3D,XStericQuadrupole3D,YStericQuadrupole3D,ZStericQuadrupole3D,FeatureAcceptorCount3D,FeatureDonorCount3D,FeatureAnionCount3D,FeatureCationCount3D,FeatureRingCount3D,FeatureHydrophobeCount3D,EffectiveRotorCount3D,ConformerCount3D,Fingerprint2D
CHEMBL100102,44328638,326.4,C18H22N4O2,44328638.0,C18H22N4O2,326.4,C1=CC=C2C(=C1)C=C(N2)C3=C(C(=O)NC3=O)NCCCCCCN,C1=CC=C2C(=C1)C=C(N2)C3=C(C(=O)NC3=O)NCCCCCCN,C1=CC=C2C(=C1)C=C(N2)C3=C(C(=O)NC3=O)NCCCCCCN,"InChI=1S/C18H22N4O2/c19-9-5-1-2-6-10-20-16-15(17(23)22-18(16)24)14-11-12-7-3-4-8-13(12)21-14/h3-4,7-8,11,21H,1-2,5-6,9-10,19H2,(H2,20,22,23,24)",UMYFZKLEAHNEQZ-UHFFFAOYSA-N,"3-(6-aminohexylamino)-4-(1H-indol-2-yl)pyrrole-2,5-dione",1.8,326.17427596,326.17427596,100.0,517.0,0.0,4.0,4.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,258.4,18.37,4.92,0.69,2.0,4.0,0.0,3.0,3.0,1.0,8.2,10.0,AAADceB7sAAAAAAAAAAAAAAAAAAAAWIAAAAwAAAAAAAAAFgB8AAAHgAQAAAADAjBngQwwPLJkACoAyVyVACCgCAhAiAImaG4ZNgIYPrA1bGUIAhglCDIyUcYiICOAAAAAAACAAAAAAAAAAQAAAAAAAAAAA==
CHEMBL101311,4475481,448.3,C21H23Cl2N5O2,4475481.0,C21H23Cl2N5O2,448.3,CN(C)CC(COC1=CC=C(C=C1)NC2=NC=CC(=N2)NC3=C(C=CC(=C3)Cl)Cl)O,CN(C)CC(COC1=CC=C(C=C1)NC2=NC=CC(=N2)NC3=C(C=CC(=C3)Cl)Cl)O,CN(C)CC(COC1=CC=C(C=C1)NC2=NC=CC(=N2)NC3=C(C=CC(=C3)Cl)Cl)O,"InChI=1S/C21H23Cl2N5O2/c1-28(2)12-16(29)13-30-17-6-4-15(5-7-17)25-21-24-10-9-20(27-21)26-19-11-14(22)3-8-18(19)23/h3-11,16,29H,12-13H2,1-2H3,(H2,24,25,26,27)",GNLAGGCSJGJECE-UHFFFAOYSA-N,"1-[4-[[4-(2,5-dichloroanilino)pyrimidin-2-yl]amino]phenoxy]-3-(dimethylamino)propan-2-ol",4.6,447.1228804,447.1228804,82.5,496.0,0.0,3.0,7.0,9.0,30.0,0.0,0.0,1.0,0.0,0.0,1.0,332.4,16.2,5.25,1.54,2.0,3.0,0.0,2.0,3.0,0.0,9.0,10.0,AAADceB7sAAGAAAAAAAAAAAAAAAAAAAAAAA8YIAAAAAAAAAB0AAAHgIQCAAACB7hkiY/9pfIFgCgADZnZACCiCkxJ6AJ2CA+bpiPPuLF+9vGPCju0BPb6CewQAAAAEAQAAIAABAAgCAABAAAIAAAAAAAAA==
CHEMBL101683,9797919,337.8,C19H16ClN3O,9797919.0,C19H16ClN3O,337.8,C1=CC=C(C(=C1)C(=O)NC2=CC=C(C=C2)Cl)NCC3=CC=NC=C3,C1=CC=C(C(=C1)C(=O)NC2=CC=C(C=C2)Cl)NCC3=CC=NC=C3,C1=CC=C(C(=C1)C(=O)NC2=CC=C(C=C2)Cl)NCC3=CC=NC=C3,"InChI=1S/C19H16ClN3O/c20-15-5-7-16(8-6-15)23-19(24)17-3-1-2-4-18(17)22-13-14-9-11-21-12-10-14/h1-12,22H,13H2,(H,23,24)",GGPZCOONYBPZEW-UHFFFAOYSA-N,N-(4-chlorophenyl)-2-(pyridin-4-ylmethylamino)benzamide,4.3,337.0981898,337.0981898,54.0,392.0,0.0,2.0,3.0,5.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,261.1,10.14,6.61,1.24,2.0,2.0,0.0,1.0,3.0,0.0,6.0,10.0,AAADceB7IAAEAAAAAAAAAAAAAAAAAAAAAAA8YIAAAAAAAAAB0AAAHgIQAAAADArBmiQ8wJLIEACoAjV3VACCgCA1ByAI2KE4ZtgIIHrB15GEIYhglADIyccYiACOAABAAAACAAAAAIAAAAQAAAAAAAAAAA==
CHEMBL102301,9890746,467.5,C23H25N5O4S,9890746.0,C23H25N5O4S,467.5,COC1=C(C=C2C(=C1)C(=NC=N2)N3CCN(CC3)C(=S)NCC4=CC5=C(C=C4)OCO5)OC,COC1=C(C=C2C(=C1)C(=NC=N2)N3CCN(CC3)C(=S)NCC4=CC5=C(C=C4)OCO5)OC,COC1=C(C=C2C(=C1)C(=NC=N2)N3CCN(CC3)C(=S)NCC4=CC5=C(C=C4)OCO5)OC,"InChI=1S/C23H25N5O4S/c1-29-19-10-16-17(11-20(19)30-2)25-13-26-22(16)27-5-7-28(8-6-27)23(33)24-12-15-3-4-18-21(9-15)32-14-31-18/h3-4,9-11,13H,5-8,12,14H2,1-2H3,(H,24,33)",ORRFUYVNMZSYIC-UHFFFAOYSA-N,"N-(1,3-benzodioxol-5-ylmethyl)-4-(6,7-dimethoxyquinazolin-4-yl)piperazine-1-carbothioamide",2.9,467.16272547,467.16272547,113.0,667.0,0.0,1.0,8.0,5.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0,352.7,25.8,3.66,2.14,5.0,1.0,0.0,2.0,5.0,0.0,8.8,10.0,AAADceB7uABAAAAAAAAAAAAAAAAAASAAAAA8eIEAAAAAAEix9AAAHgQQAAAADAzBngc3/vfIFACkAyZjZACCiCkxIqkJ2KA+7JidbqLE+du0NCpuwBvO6Cew0BMOIEABAgACQABAgAIEAASAAAAAAAAAAA==
CHEMBL102346,10907042,485.5,C27H27N5O4,10907042.0,C27H27N5O4,485.5,COC1=C(C=C2C(=C1)C(=NC=N2)N3CCN(CC3)C(=O)NC4=CC=C(C=C4)OC5=CC=CC=C5)OC,COC1=C(C=C2C(=C1)C(=NC=N2)N3CCN(CC3)C(=O)NC4=CC=C(C=C4)OC5=CC=CC=C5)OC,COC1=C(C=C2C(=C1)C(=NC=N2)N3CCN(CC3)C(=O)NC4=CC=C(C=C4)OC5=CC=CC=C5)OC,"InChI=1S/C27H27N5O4/c1-34-24-16-22-23(17-25(24)35-2)28-18-29-26(22)31-12-14-32(15-13-31)27(33)30-19-8-10-21(11-9-19)36-20-6-4-3-5-7-20/h3-11,16-18H,12-15H2,1-2H3,(H,30,33)",INTPTKHSGKBHHW-UHFFFAOYSA-N,"4-(6,7-dimethoxyquinazolin-4-yl)-N-(4-phenoxyphenyl)piperazine-1-carboxamide",4.1,485.20630436,485.20630436,89.1,692.0,0.0,1.0,7.0,6.0,36.0,0.0,0.0,0.0,0.0,0.0,1.0,372.4,36.85,2.49,1.45,4.0,1.0,0.0,2.0,5.0,0.0,9.2,10.0,AAADceB7uAAAAAAAAAAAAAAAAAAAAAAAAAA8eMECAAAAAACx9AAAHgAQAAAADAzBngY39vfIFACoAyZjdACCiCkxIqAJ2CA+7JiNbqLE+duWPCru1hvK6Cew0BMOIEABAgACQABAgAIEAASAAAAAAAAAAA==
CHEMBL103055,10207821,512.6,C30H32N4O4,10207821.0,C30H32N4O4,512.6,CCN1CCOCCN2C=C(C3=CC=CC=C32)C4=C(C5=CN(CCOCC1)C6=CC=CC=C65)C(=O)NC4=O,CCN1CCOCCN2C=C(C3=CC=CC=C32)C4=C(C5=CN(CCOCC1)C6=CC=CC=C65)C(=O)NC4=O,CCN1CCOCCN2C=C(C3=CC=CC=C32)C4=C(C5=CN(CCOCC1)C6=CC=CC=C65)C(=O)NC4=O,"InChI=1S/C30H32N4O4/c1-2-32-11-15-37-17-13-33-19-23(21-7-3-5-9-25(21)33)27-28(30(36)31-29(27)35)24-20-34(14-18-38-16-12-32)26-10-6-4-8-22(24)26/h3-10,19-20H,2,11-18H2,1H3,(H,31,35,36)",SFDFKLDQKSPRHB-UHFFFAOYSA-N,"20-ethyl-17,23-dioxa-4,14,20,26-tetrazahexacyclo[24.6.1.17,14.02,6.08,13.027,32]tetratriaconta-1(33),2(6),7(34),8,10,12,27,29,31-nonaene-3,5-dione",2.5,512.24235551,512.24235551,77.7,841.0,0.0,1.0,5.0,1.0,38.0,0.0,0.0,0.0,0.0,0.0,1.0,401.6,7.67,5.57,3.14,4.0,1.0,0.0,3.0,5.0,0.0,3.4,10.0,AAADcfB7uAAAAAAAAAAAAAAAAAAAAWLEAAAwYAAAAAAAAFgB/gAAHgAQAAAADAjhngY+wPPMFACoAzV3VACCgCAxAiAI2CE4ZNgKIPLAlZGHIAhghCDYyQccicCegAAAAAACAAAAAAAAAAQAAAAAAAAAAA==
CHEMBL104067,11048367,435.5,C24H29N5O3,11048367.0,C24H29N5O3,435.5,CC(C)C1=CC=C(C=C1)NC(=O)N2CCN(CC2)C3=NC=NC4=CC(=C(C=C43)OC)OC,CC(C)C1=CC=C(C=C1)NC(=O)N2CCN(CC2)C3=NC=NC4=CC(=C(C=C43)OC)OC,CC(C)C1=CC=C(C=C1)NC(=O)N2CCN(CC2)C3=NC=NC4=CC(=C(C=C43)OC)OC,"InChI=1S/C24H29N5O3/c1-16(2)17-5-7-18(8-6-17)27-24(30)29-11-9-28(10-12-29)23-19-13-21(31-3)22(32-4)14-20(19)25-15-26-23/h5-8,13-16H,9-12H2,1-4H3,(H,27,30)",CDPYJPHBGSGNJS-UHFFFAOYSA-N,"4-(6,7-dimethoxyquinazolin-4-yl)-N-(4-propan-2-ylphenyl)piperazine-1-carboxamide",3.7,435.2270398,435.2270398,79.8,604.0,0.0,1.0,6.0,5.0,32.0,0.0,0.0,0.0,0.0,0.0,1.0,337.8,28.82,2.93,1.26,3.0,1.0,0.0,2.0,4.0,1.0,8.2,10.0,AAADceB7sAAAAAAAAAAAAAAAAAAAAAAAAAA8eIEAAAAAAACx9AAAHgAQAAAADQzBngY39vfIFACoAyZjdACCiCkxIqAJ2CA+7JiNbqLE+duUNCpu1hvK6Cew0NMOqEABAgACQABQgAIEAASAAAAAAAAAAA==
CHEMBL104466,9796455,303.36,C16H21N3O3,9796455.0,C16H21N3O3,303.36,COC1=C(C=C2C(=C1)N=CC(=N2)NC3CCC(CC3)O)OC,COC1=C(C=C2C(=C1)N=CC(=N2)NC3CCC(CC3)O)OC,COC1=C(C=C2C(=C1)N=CC(=N2)NC3CCC(CC3)O)OC,"InChI=1S/C16H21N3O3/c1-21-14-7-12-13(8-15(14)22-2)19-16(9-17-12)18-10-3-5-11(20)6-4-10/h7-11,20H,3-6H2,1-2H3,(H,18,19)",CYVRFHRDWQAJGA-UHFFFAOYSA-N,"4-[(6,7-dimethoxyquinoxalin-2-yl)amino]cyclohexan-1-ol",2.1,303.15829154,303.15829154,76.5,350.0,0.0,2.0,6.0,4.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,233.2,14.52,2.11,1.05,4.0,2.0,0.0,1.0,3.0,0.0,5.2,10.0,AAADceB7MAAAAAAAAAAAAAAAAAAAAAAAAAA8YIAAAAAAAACx8AAAHgAQCAAACDzhlgY/9rLIFgCgATZnZACCiC0xMiAB2KA+/JiNduLEuJuUcCpu0BvK6CewUAMAAEAAAgAAQCAAgAAEAACAQAAAAAAAAA==
CHEMBL106966,10905857,418.4,C22H22N6O3,10905857.0,C22H22N6O3,418.4,COC1=C(C=C2C(=C1)C(=NC=N2)N3CCN(CC3)C(=O)NC4=CC=C(C=C4)C#N)OC,COC1=C(C=C2C(=C1)C(=NC=N2)N3CCN(CC3)C(=O)NC4=CC=C(C=C4)C#N)OC,COC1=C(C=C2C(=C1)C(=NC=N2)N3CCN(CC3)C(=O)NC4=CC=C(C=C4)C#N)OC,"InChI=1S/C22H22N6O3/c1-30-19-11-17-18(12-20(19)31-2)24-14-25-21(17)27-7-9-28(10-8-27)22(29)26-16-5-3-15(13-23)4-6-16/h3-6,11-12,14H,7-10H2,1-2H3,(H,26,29)",SOTRSERIYXCWEZ-UHFFFAOYSA-N,"N-(4-cyanophenyl)-4-(6,7-dimethoxyquinazolin-4-yl)piperazine-1-carboxamide",2.3,418.17533859,418.17533859,104.0,653.0,0.0,1.0,7.0,4.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,318.3,26.38,2.9,1.29,4.0,1.0,0.0,2.0,4.0,0.0,7.2,10.0,AAADceB7sAAAAAAAAAAAAAAAAAAAAAAAAAA8eIEAAAAAAACx9AAAHgAQAAAADAzBngY39vfIFAC4ByZjdACiiCkxIqAJ2CA+7JiN7qLE+duUNCpu1hvK6C+w0BMOKEABAgACQABQgAIEAASAAAAAAAAAAA==
CHEMBL1076721,135685787,295.3,C15H13N5O2,135685787.0,C15H13N5O2,295.3,COC1=CC=C(C=C1)C2=C(C(=O)NN2)N=NC3=CN=CC=C3,COC1=CC=C(C=C1)C2=C(C(=O)NN2)N=NC3=CN=CC=C3,COC1=CC=C(C=C1)C2=C(C(=O)NN2)N=NC3=CN=CC=C3,"InChI=1S/C15H13N5O2/c1-22-12-6-4-10(5-7-12)13-14(15(21)20-18-13)19-17-11-3-2-8-16-9-11/h2-9H,1H3,(H2,18,20,21)",KRHWSBXYWJHICK-UHFFFAOYSA-N,"5-(4-methoxyphenyl)-4-(pyridin-3-yldiazenyl)-1,2-dihydropyrazol-3-one",2.3,295.10692467,295.10692467,88.0,469.0,0.0,2.0,6.0,4.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,225.4,10.63,4.26,1.11,3.0,2.0,0.0,0.0,3.0,0.0,4.0,10.0,AAADccBzsAAAAAAAAAAAAAAAAAAAAQAAAAA8QAAAAAAAAAABwAAAHgAYAAAADAzBmgY+xpJqFACqAjV3VACCiCAxMiIa+CC+fNgMZuLEsZuUMChkwBHI6UeQ0AAOIAAAAAAAAABAAAAAAAAAAAAAAAAAAA==
