UniProt Accession,PDB ID,Status,Source
A0A096LP25,AF-A0A096LP25-F1,✅ Downloaded from AlphaFold,Davis
Q13689,AF-Q13689-F1,✅ Downloaded from AlphaFold,Davis
P42684,2ECD,✅ Downloaded from PDB,Davis
P42684,2KK1,✅ Downloaded from PDB,Davis
P42684,2XYN,✅ Downloaded from PDB,Davis
P42684,3GVU,"⚠️ PDB Exception: HTTPSConnectionPool(host='files.rcsb.org', port=443): Read timed out. (read timeout=10)",Davis
P42684,3HMI,✅ Downloaded from PDB,Davis
P42684,3ULR,✅ Downloaded from PDB,Davis
P42684,4EIH,✅ Downloaded from PDB,Davis
P42684,5NP3,✅ Downloaded from PDB,Davis
P42684,5NP5,✅ Downloaded from PDB,Davis
A0A804HHZ2,AF-A0A804HHZ2-F1,✅ Downloaded from AlphaFold,Davis
F5H5Q2,AF-F5H5Q2-F1,✅ Downloaded from AlphaFold,Davis
P27037,3Q4T,"⚠️ PDB Exception: HTTPSConnectionPool(host='files.rcsb.org', port=443): Read timed out. (read timeout=10)",Davis
P27037,3SOC,✅ Downloaded from PDB,Davis
P27037,4ASX,✅ Downloaded from PDB,Davis
P27037,5NH3,✅ Downloaded from PDB,Davis
P27037,7U5P,✅ Downloaded from PDB,Davis
Q4VAU9,AF-Q4VAU9-F1,✅ Downloaded from AlphaFold,Davis
D9IPD9,AF-D9IPD9-F1,✅ Downloaded from AlphaFold,Davis
Q8NI60,4PED,✅ Downloaded from PDB,Davis
Q8NI60,5I35,✅ Downloaded from PDB,Davis
Q8NI60,7UDP,✅ Downloaded from PDB,Davis
Q8NI60,7UDQ,✅ Downloaded from PDB,Davis
Q96D53,AF-Q96D53-F1,✅ Downloaded from AlphaFold,Davis
M0R0P9,AF-M0R0P9-F1,✅ Downloaded from AlphaFold,Davis
Q56A86,AF-Q56A86-F1,✅ Downloaded from AlphaFold,Davis
Q9UM73,2KUP,✅ Downloaded from PDB,Davis
Q9UM73,2KUQ,✅ Downloaded from PDB,Davis
Q9UM73,2XB7,"⚠️ PDB Exception: HTTPSConnectionPool(host='files.rcsb.org', port=443): Read timed out. (read timeout=10)",Davis
Q9UM73,2XBA,✅ Downloaded from PDB,Davis
Q9UM73,2XP2,✅ Downloaded from PDB,Davis
Q9UM73,2YFX,✅ Downloaded from PDB,Davis
Q9UM73,2YHV,✅ Downloaded from PDB,Davis
Q9UM73,2YJR,✅ Downloaded from PDB,Davis
Q9UM73,2YJS,✅ Downloaded from PDB,Davis
Q9UM73,2YS5,✅ Downloaded from PDB,Davis
Q9UM73,2YT2,✅ Downloaded from PDB,Davis
Q9UM73,3AOX,✅ Downloaded from PDB,Davis
Q9UM73,3L9P,✅ Downloaded from PDB,Davis
Q9UM73,3LCS,✅ Downloaded from PDB,Davis
Q9UM73,3LCT,✅ Downloaded from PDB,Davis
Q9UM73,4ANL,✅ Downloaded from PDB,Davis
Q9UM73,4ANQ,✅ Downloaded from PDB,Davis
Q9UM73,4ANS,✅ Downloaded from PDB,Davis
Q9UM73,4CCB,✅ Downloaded from PDB,Davis
Q9UM73,4CCU,✅ Downloaded from PDB,Davis
Q9UM73,4CD0,✅ Downloaded from PDB,Davis
Q9UM73,4CLI,✅ Downloaded from PDB,Davis
