Query,PubChem CID,Molecular Weight,Molecular Formula
CHEMBL100102,44328638,326.4,C18H22N4O2
CHEMBL101311,4475481,448.3,C21H23Cl2N5O2
CHEMBL101683,9797919,337.8,C19H16ClN3O
CHEMBL102301,9890746,467.5,C23H25N5O4S
CHEMBL102346,10907042,485.5,C27H27N5O4
CHEMBL103055,10207821,512.6,C30H32N4O4
CHEMBL104067,11048367,435.5,C24H29N5O3
CHEMBL104466,9796455,303.36,C16H21N3O3
CHEMBL106966,10905857,418.4,C22H22N6O3
CHEMBL1076721,135685787,295.30,C15H13N5O2
CHEMBL1080902,135934877,324.33,C17H16N4O3
CHEMBL1080994,45375865,512.6,C28H28N6O2S
CHEMBL1080995,45375866,526.7,C29H30N6O2S
CHEMBL1081198,11755812,503.5,C26H20F3N7O
CHEMBL1081312,24905142,319.4,C17H17N7
CHEMBL1082152,11560568,409.4,C22H20FN3O4
CHEMBL1082440,9885023,319.4,C16H21N3O2S
CHEMBL1084546,11713159,507.5,C21H20F3N7O3S
CHEMBL1085511,24762205,499.6,C28H33N7O2
CHEMBL1086736,135976660,295.30,C15H13N5O2
CHEMBL1087397,24884503,515.5,C29H24F3N5O
CHEMBL1087421,44138048,340.6,C16H12Cl3NO
CHEMBL1087650,46880136,474.6,C29H26N6O
CHEMBL1088633,44138049,306.2,C16H13Cl2NO
CHEMBL1089082,24822704,459.4,C25H16F3N5O
CHEMBL1090143,46865419,476.5,C25H15F3N4OS
CHEMBL1090356,46886319,587.7,C33H29N7O2S
CHEMBL1090360,46886323,587.7,C33H29N7O2S
CHEMBL1091356,46866604,640.8,C35H44N8O4
CHEMBL1092754,44541014,455.5,C26H21N3O5
CHEMBL1094408,24993189,448.5,C23H28N8O2
CHEMBL1095626,44605035,437.5,C22H27N7O3
CHEMBL1095627,44605037,479.6,C25H33N7O3
CHEMBL111779,44340751,592.6,C29H28N4O10
CHEMBL111889,44340971,592.6,C29H28N4O10
CHEMBL112235,22671105,608.6,C29H28N4O11
CHEMBL112239,44340974,624.6,C29H28N4O12
CHEMBL112263,9927800,338.4,C18H18N4O3
CHEMBL112346,20579089,450.5,C24H30N6O3
CHEMBL112602,44340902,608.6,C29H28N4O11
CHEMBL113,2519,194.19,C8H10N4O2
CHEMBL113185,15550318,396.4,C20H24N6O3
CHEMBL115220,449087,291.3,C18H17N3O
CHEMBL115531,10369873,534.7,C33H38N6O
CHEMBL115769,9819053,334.3,C19H15FN4O
CHEMBL1159459,46905117,956.7,C41H32O27
CHEMBL1159460,46905118,954.7,C41H30O27
CHEMBL1159461,46905119,650.5,C27H22O19
CHEMBL1159462,10349127,636.5,C27H24O18
CHEMBL1159463,11968981,788.6,C34H28O22
CHEMBL1159466,46905122,952.6,C41H28O27
CHEMBL1159467,46905123,1120.7,C48H32O32
CHEMBL1159468,46905124,802.6,C34H26O23
CHEMBL116070,9906347,349.20,C14H9BrN2O2S
CHEMBL1163016,46179972,499.6,C28H31N6O3
CHEMBL1164180,46871637,503.0,C25H26ClF3N6
CHEMBL1164265,46906669,470.9,C24H25ClF2N6
CHEMBL116963,24955953,508.7,C31H36N6O
CHEMBL1172957,46898022,375.4,C15H17N7O3S
CHEMBL1173055,9931954,323.4,C19H18FN3O
CHEMBL117443,44343747,446.6,C26H34N6O
CHEMBL117697,712193,251.28,C15H13N3O
CHEMBL1178727,13187667,188.25,C10H8N2S
CHEMBL118258,10005638,486.5,C25H29F3N6O
CHEMBL1190711,10200390,390.4,C20H18N6O3
CHEMBL120077,9797370,325.3,C18H16FN3O2
CHEMBL120185,9826083,472.6,C26H29FN8
CHEMBL1202927,11605551,489.0,C28H29ClN4O2
CHEMBL121405,44346053,436.5,C25H29FN4O2
CHEMBL1222044,9548013,339.3,C9H4F3N3O4S2
CHEMBL1230122,11406590,388.4,C19H18F2N4O3
CHEMBL1230607,46191454,361.5,C19H31N5O2
CHEMBL1230790,24905143,269.30,C14H15N5O
CHEMBL1233654,449240,291.37,C14H17N3O2S
CHEMBL1233881,24905153,325.4,C17H19N5O2
CHEMBL1233882,24905152,304.3,C17H16N6
CHEMBL1233887,9860448,278.31,C16H14N4O
CHEMBL1234815,24905144,275.31,C16H13N5
CHEMBL1234833,25125014,385.5,C20H27N5O3
CHEMBL1236126,11987888,440.4,C22H24N4O6
CHEMBL1240544,24905324,318.76,C14H15ClN6O
CHEMBL1240545,24905166,292.34,C16H16N6
CHEMBL1240553,24905189,339.4,C18H21N5O2
CHEMBL1240554,24905296,353.4,C19H23N5O2
CHEMBL1240565,24905210,265.27,C13H11N7
