UniProt,PDB,Status
A0A059VC25,AF-A0A059VC25-F1.pdb,✅ Downloaded from AlphaFold
A0A087WT52,AF-A0A087WT52-F1.pdb,✅ Downloaded from AlphaFold
A0A087WUH9,AF-A0A087WUH9-F1.pdb,✅ Downloaded from AlphaFold
A0A087WY58,AF-A0A087WY58-F1.pdb,✅ Downloaded from AlphaFold
A0A087WYP8,AF-A0A087WYP8-F1.pdb,✅ Downloaded from AlphaFold
A0A087WZK4,AF-A0A087WZK4-F1.pdb,✅ Downloaded from AlphaFold
A0A096LP25,AF-A0A096LP25-F1.pdb,✅ Downloaded from AlphaFold
A0A0A0MR25,AF-A0A0A0MR25-F1.pdb,✅ Downloaded from AlphaFold
A0A0C4DGC9,AF-A0A0C4DGC9-F1.pdb,✅ Downloaded from AlphaFold
A0A0D9SFF9,AF-A0A0D9SFF9-F1.pdb,✅ Downloaded from AlphaFold
A0A0G2JHK4,AF-A0A0G2JHK4-F1.pdb,✅ Downloaded from AlphaFold
A0A0S2Z539,AF-A0A0S2Z539-F1.pdb,✅ Downloaded from AlphaFold
A0A0U1RQV4,AF-A0A0U1RQV4-F1.pdb,✅ Downloaded from AlphaFold
A0A0U1RQY7,AF-A0A0U1RQY7-F1.pdb,✅ Downloaded from AlphaFold
A0A218N881,AF-A0A218N881-F1.pdb,✅ Downloaded from AlphaFold
A0A2K8FKQ1,AF-A0A2K8FKQ1-F1.pdb,✅ Downloaded from AlphaFold
A0A2P0XI22,AF-A0A2P0XI22-F1.pdb,✅ Downloaded from AlphaFold
A0A2R8Y6T4,AF-A0A2R8Y6T4-F1.pdb,✅ Downloaded from AlphaFold
A0A2R8YDP2,AF-A0A2R8YDP2-F1.pdb,✅ Downloaded from AlphaFold
A0A2R8YFN5,AF-A0A2R8YFN5-F1.pdb,✅ Downloaded from AlphaFold
A0A2R8YH74,AF-A0A2R8YH74-F1.pdb,✅ Downloaded from AlphaFold
A0A494C148,AF-A0A494C148-F1.pdb,✅ Downloaded from AlphaFold
A0A590UJ43,AF-A0A590UJ43-F1.pdb,✅ Downloaded from AlphaFold
A0A5F9ZH21,AF-A0A5F9ZH21-F1.pdb,✅ Downloaded from AlphaFold
A0A5F9ZH68,AF-A0A5F9ZH68-F1.pdb,✅ Downloaded from AlphaFold
A0A5F9ZHQ1,AF-A0A5F9ZHQ1-F1.pdb,✅ Downloaded from AlphaFold
A0A5F9ZI27,AF-A0A5F9ZI27-F1.pdb,✅ Downloaded from AlphaFold
A0A5H1ZRP5,AF-A0A5H1ZRP5-F1.pdb,✅ Downloaded from AlphaFold
A0A669KBC2,AF-A0A669KBC2-F1.pdb,✅ Downloaded from AlphaFold
A0A6G6D045,AF-A0A6G6D045-F1.pdb,✅ Downloaded from AlphaFold
A0A7I2V404,AF-A0A7I2V404-F1.pdb,✅ Downloaded from AlphaFold
A0A7I2V454,AF-A0A7I2V454-F1.pdb,✅ Downloaded from AlphaFold
A0A7I2V4G7,AF-A0A7I2V4G7-F1.pdb,✅ Downloaded from AlphaFold
A0A7I2V550,AF-A0A7I2V550-F1.pdb,✅ Downloaded from AlphaFold
A0A7P0MUT5,AF-A0A7P0MUT5-F1.pdb,✅ Downloaded from AlphaFold
A0A7P0T808,AF-A0A7P0T808-F1.pdb,✅ Downloaded from AlphaFold
A0A7P0TAB0,AF-A0A7P0TAB0-F1.pdb,✅ Downloaded from AlphaFold
A0A7P0TBL4,AF-A0A7P0TBL4-F1.pdb,✅ Downloaded from AlphaFold
A0A804HHZ2,AF-A0A804HHZ2-F1.pdb,✅ Downloaded from AlphaFold
A0JLT6,AF-A0JLT6-F1.pdb,✅ Downloaded from AlphaFold
